"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 23 03:06:40 GMT 2025","Sun Mar 23 03:06:41 GMT 2025","852","一般的なエラーのテスト","","","","","ユーザーが存在しないURLにアクセスすると、エラーメッセージと商品一覧へのリングが表示される",""
"passed","Sun Mar 23 03:06:37 GMT 2025","Sun Mar 23 03:06:40 GMT 2025","2903","smoke","","","","","Webサイトを開きログインする",""
